"Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"Q925E7","Ppp2r2d","NA","NA",-0.163,-0.759,-0.891,0.124,-1.122,-0.639,0.02,-0.159,-1.052
"P06576","ATP5F1B","NA","NA",-0.157,0.202,0.042,0.168,0.157,0.374,0.077,-0.146,0.076
"P56480","Atp5f1b","NA","NA",-0.157,0.202,0.042,0.168,0.157,0.374,0.077,-0.146,0.076
"P02545","LMNA","NA","NA",-0.226,0.36,0.281,0.218,0.394,0.424,0.228,0.414,0.37
"P48678","Lmna","NA","NA",-0.226,0.36,0.281,0.218,0.394,0.424,0.228,0.414,0.37
"Q15459","SF3A1","NA","NA",-0.348,0.228,0.092,0.087,0.148,0.332,0.057,-0.159,0.044
"Q8K4Z5","Sf3a1","NA","NA",-0.348,0.228,0.092,0.087,0.148,0.332,0.057,-0.159,0.044
"Q2EMV9","Parp14","NA","NA",-0.231,0.246,0.1,0.129,-0.167,0.203,0.244,-0.006,0.225
"P23368","ME2","NA","NA",-0.518,-1.264,-1.281,0.208,-1.773,-1.296,-0.727,-0.705,-1.192
"Q99KE1","Me2","NA","NA",-0.518,-1.264,-1.281,0.208,-1.773,-1.296,-0.727,-0.705,-1.192
"O00244","ATOX1","NA","NA",-0.164,0.315,-0.172,0.068,0.651,0.295,0.514,-0.11,0.42
"P04075","ALDOA","NA","NA",-0.289,0.613,0.423,0.223,0.633,0.632,0.192,0.484,0.459
"P05064","Aldoa","NA","NA",-0.289,0.613,0.423,0.223,0.633,0.632,0.192,0.484,0.459
"P31949","S100A11","NA","NA",-0.413,-1.208,-1.522,0.182,-1.272,-0.909,-0.245,-0.22,-1.479
"P04406","GAPDH","NA","NA",-0.039,0.298,0.142,0.194,0.48,0.451,-0.236,-0.143,0.203
"P16858","Gapdh","NA","NA",-0.039,0.298,0.142,0.194,0.48,0.451,-0.236,-0.143,0.203
"P02545","LMNA","NA","NA",-0.15,0.736,0.821,0.263,1.162,0.671,0.233,0.109,1.066
"P48678","Lmna","NA","NA",-0.15,0.736,0.821,0.263,1.162,0.671,0.233,0.109,1.066
"Q6AHZ1","ZNF518A","NA","NA",-0.264,0.148,0.096,0.159,0.272,0.347,0.309,-0.125,0.176
"P17096","HMGA1","NA","NA",0.015,-0.721,-0.838,0.271,-1.305,-0.735,-0.08,-0.026,-0.836
"P17095","Hmga1","NA","NA",0.015,-0.721,-0.838,0.271,-1.305,-0.735,-0.08,-0.026,-0.836
"P63104","YWHAZ","NA","NA",-0.451,0.979,0.671,0.298,1.266,0.951,0.18,0.076,0.767
"P63101","Ywhaz","NA","NA",-0.451,0.979,0.671,0.298,1.266,0.951,0.18,0.076,0.767
"P07724","Alb","NA","NA",0.029,1.296,1.535,0.228,1.553,1.092,0.128,0.067,1.533
"Q07832","Plk1","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q5VT25","CDC42BPA","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q96AV8","E2F7","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q9Y2X7","GIT1","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q14161","GIT2","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q96C24","SYTL4","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q9NQG5","RPRD1B","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q68FF6","Git1","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"B2RWW0","Tagap","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q9JLQ2","Git2","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q9R0Q1","Sytl4","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q64462","Cyp4b1","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q9CSU0","Rprd1b","NA","NA",0.009,0.532,0.436,0.401,0.479,0.626,0.743,0.274,0.502
"Q14978","NOLC1","NA","NA",-0.187,-0.178,-0.77,0.236,-0.553,-0.263,0.068,-0.193,-0.583
"P07724","Alb","NA","NA",-0.06,0.781,0.729,0.263,0.616,0.793,0.242,0.068,0.835
"P09622","DLD","NA","NA",-0.356,0.379,-0.033,0.104,0.329,0.333,0.053,0.015,0.349
"P05783","KRT18","NA","NA",0.75,2.392,2.094,0.043,3.164,2.723,1.905,0.215,2.284
"P05784","Krt18","NA","NA",0.75,2.392,2.094,0.043,3.164,2.723,1.905,0.215,2.284
"Q9ULC4","MCTS1","NA","NA",-0.236,0.545,0.452,-0.074,0.442,0.49,0.168,-0.431,0.406
"Q9CQ21","Mcts2","NA","NA",-0.236,0.545,0.452,-0.074,0.442,0.49,0.168,-0.431,0.406
"Q9DB27","Mcts1","NA","NA",-0.236,0.545,0.452,-0.074,0.442,0.49,0.168,-0.431,0.406
"P17987","TCP1","NA","NA",-0.059,0.231,-0.123,0.479,0.156,0.167,0.487,0.059,0.073
"P11983","Tcp1","NA","NA",-0.059,0.231,-0.123,0.479,0.156,0.167,0.487,0.059,0.073
"P19338","NCL","NA","NA",-0.099,0.177,-0.062,0.171,0.006,0.084,0.072,0.07,0.069
"P60900","PSMA6","NA","NA",-0.223,0.256,-0.112,0.158,0.077,0.037,-0.094,-0.107,-0.162
"Q9QUM9","Psma6","NA","NA",-0.223,0.256,-0.112,0.158,0.077,0.037,-0.094,-0.107,-0.162
"Q96C86","DCPS","NA","NA",-0.518,0.772,0.579,-0.031,1.167,0.97,0.027,-0.001,0.521
"Q8WV93","AFG1L","NA","NA",-0.641,-0.012,-0.35,0.102,-1.006,-0.015,-1.59,-0.734,-0.359
"Q9D7I5","Lhpp","NA","NA",-0.641,-0.012,-0.35,0.102,-1.006,-0.015,-1.59,-0.734,-0.359
"P61981","YWHAG","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"P31946","YWHAB","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"Q04917","YWHAH","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"P63104","YWHAZ","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"P61982","Ywhag","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"Q9CQV8","Ywhab","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"P68510","Ywhah","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"P63101","Ywhaz","NA","NA",0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"P10809","HSPD1","NA","NA",-0.31,1.047,0.558,0.102,0.915,1.071,0.288,-0.119,0.471
"P07724","Alb","NA","NA",0.232,0.765,1.029,0.298,0.718,0.703,0.671,0.214,0.933
"Q9BZ95","NSD3","NA","NA",-0.058,-0.032,-0.162,0.158,0.046,0.113,0.472,-0.106,-0.111
"P53999","SUB1","NA","NA",-0.3,-1.09,-0.938,0.07,-0.998,-0.933,-0.185,-0.495,-1.093
"P26583","HMGB2","NA","NA",-0.06,-0.579,-0.613,0.109,-0.699,-0.36,0.038,0.074,-0.654
"P30681","Hmgb2","NA","NA",-0.06,-0.579,-0.613,0.109,-0.699,-0.36,0.038,0.074,-0.654
"P24752","ACAT1","NA","NA",-1.222,0.376,-0.036,0.198,-0.065,0.511,0.196,-0.316,0.245
"P06733","ENO1","NA","NA",-0.256,0.649,0.478,0.234,0.861,0.603,0.229,0.176,0.484
"P12270","TPR","NA","NA",-0.203,0.428,0.234,0.321,0.557,0.529,0.236,0.13,0.227
"F6ZDS4","Tpr","NA","NA",-0.203,0.428,0.234,0.321,0.557,0.529,0.236,0.13,0.227
"P08670","VIM","NA","NA",-0.112,0.702,0.949,0.149,0.797,0.649,0.455,0.004,0.804
"P20152","Vim","NA","NA",-0.112,0.702,0.949,0.149,0.797,0.649,0.455,0.004,0.804
"P49327","FASN","NA","NA",0.136,1.14,0.758,0.242,0.255,0.459,0.16,0.307,0.721
"P19096","Fasn","NA","NA",0.136,1.14,0.758,0.242,0.255,0.459,0.16,0.307,0.721
"Q13428","TCOF1","NA","NA",-0.056,-0.269,-0.205,0.129,-0.207,-0.121,0.054,0.112,-0.313
"P60174","TPI1","NA","NA",-1.413,-0.822,-1.37,-0.001,-0.915,-0.783,-0.819,-1.074,-1.359
"P17751","Tpi1","NA","NA",-1.413,-0.822,-1.37,-0.001,-0.915,-0.783,-0.819,-1.074,-1.359
"Q13769","THOC5","NA","NA",0.004,-0.301,-0.234,0.041,-0.346,-0.101,0.263,-0.358,-0.348
"Q96KR1","ZFR","NA","NA",-0.11,0.009,-0.095,0.217,-0.086,-0.016,0.05,-0.095,-0.083
"P52565","ARHGDIA","NA","NA",-0.017,0.799,0.947,0.312,1.196,0.839,0.493,0.063,1.325
"Q99PT1","Arhgdia","NA","NA",-0.017,0.799,0.947,0.312,1.196,0.839,0.493,0.063,1.325
"Q9UIG0","BAZ1B","NA","NA",0.153,0.062,0.181,0.293,0.098,0.412,0.026,0.087,0.323
"P19338","NCL","NA","NA",-0.266,0.488,0.305,0.296,0.592,0.525,0.208,-0.005,0.391
"P09405","Ncl","NA","NA",-0.266,0.488,0.305,0.296,0.592,0.525,0.208,-0.005,0.391
"P07355","ANXA2","NA","NA",-0.203,0.551,0.749,0.425,0.671,0.572,0.213,0.23,0.498
"P00367","GLUD1","NA","NA",-0.52,0.743,0.461,-0.047,0.73,0.727,0.118,-0.059,0.487
"P26443","Glud1","NA","NA",-0.52,0.743,0.461,-0.047,0.73,0.727,0.118,-0.059,0.487
"Q9C0B9","ZCCHC2","NA","NA",-0.223,1.261,1.189,0.138,1.066,1.153,0.104,0.045,1.268
"Q69ZB8","Zcchc2","NA","NA",-0.223,1.261,1.189,0.138,1.066,1.153,0.104,0.045,1.268
"Q6P5C7","Znf728","NA","NA",-0.268,0.205,0.288,0.145,-0.071,0.76,0.48,3.658,0.054
"P04406","GAPDH","NA","NA",-0.314,0.936,0.873,0.194,1.035,1.074,-0.02,-0.006,0.933
"P16858","Gapdh","NA","NA",-0.314,0.936,0.873,0.194,1.035,1.074,-0.02,-0.006,0.933
"Q96JK9","MAML3","NA","NA",-0.127,-1.515,-1.896,-0.042,-1.963,-1.353,-0.007,-0.176,-1.838
"O60890","OPHN1","NA","NA",-0.252,-0.184,-0.145,0.038,-0.159,-0.098,0.065,-0.181,-0.06
"O95396","MOCS3","NA","NA",-0.252,-0.184,-0.145,0.038,-0.159,-0.098,0.065,-0.181,-0.06
"A2BDX3","Mocs3","NA","NA",-0.252,-0.184,-0.145,0.038,-0.159,-0.098,0.065,-0.181,-0.06
"P07900","HSP90AA1","NA","NA",-0.242,0.457,0.399,0.313,0.424,0.634,-0.009,0.567,0.291
"P08238","HSP90AB1","NA","NA",-0.242,0.457,0.399,0.313,0.424,0.634,-0.009,0.567,0.291
"P07901","Hsp90aa1","NA","NA",-0.242,0.457,0.399,0.313,0.424,0.634,-0.009,0.567,0.291
"P11499","Hsp90ab1","NA","NA",-0.242,0.457,0.399,0.313,0.424,0.634,-0.009,0.567,0.291
"P50914","RPL14","NA","NA",-0.265,-0.232,-0.162,0.023,-0.468,-0.185,0.491,-0.134,-0.355
"O60814","H2BC12","NA","NA",-0.313,0.903,0.709,0.112,0.995,0.882,0.329,-0.095,0.705
"P06899","H2BC11","NA","NA",-0.313,0.903,0.709,0.112,0.995,0.882,0.329,-0.095,0.705
"Q64524","H2bc21","NA","NA",-0.313,0.903,0.709,0.112,0.995,0.882,0.329,-0.095,0.705
"Q8CGP1","H2bc12","NA","NA",-0.313,0.903,0.709,0.112,0.995,0.882,0.329,-0.095,0.705
"P52480","Pkm","NA","NA",-0.265,0.318,0.063,0.039,0.231,0.377,0.044,-0.126,0.216
"O60885","BRD4","NA","NA",-0.764,-1.102,-1.037,-0.039,-1.408,-1.111,-0.017,-0.814,-1.533
"O00193","SMAP","NA","NA",-0.561,-0.411,-0.434,0.14,-0.397,-0.381,-0.674,-0.217,-0.41
"Q9R0P4","Smap","NA","NA",-0.561,-0.411,-0.434,0.14,-0.397,-0.381,-0.674,-0.217,-0.41
"Q96PK6","RBM14","NA","NA",-0.267,-0.518,-0.84,0.097,-0.565,-0.477,0.015,-0.241,-0.657
"P13639","EEF2","NA","NA",-0.293,0.396,0.256,0.217,0.684,0.445,-0.127,-0.628,0.069
"P12270","TPR","NA","NA",-0.44,0.022,0,0.107,-0.051,0.169,-0.244,-0.25,0.027
"F6ZDS4","Tpr","NA","NA",-0.44,0.022,0,0.107,-0.051,0.169,-0.244,-0.25,0.027
"Q8IZQ5","SELENOH","NA","NA",-0.061,0.279,0.058,0.27,0.118,0.25,0.465,0.671,0.336
"P26583","HMGB2","NA","NA",0.056,0.342,0.499,-0.154,0.395,0.962,0.392,3.003,0.345
"P30681","Hmgb2","NA","NA",0.056,0.342,0.499,-0.154,0.395,0.962,0.392,3.003,0.345
"Q9C0J8","WDR33","NA","NA",0.226,-1.63,-1.835,-0.122,-2.446,-1.518,1.164,0.158,-1.711
"Q8K4P0","Wdr33","NA","NA",0.226,-1.63,-1.835,-0.122,-2.446,-1.518,1.164,0.158,-1.711
"P07355","ANXA2","NA","NA",-0.163,0.98,0.823,0.305,0.998,1.028,0.097,0.251,1.057
"P07356","Anxa2","NA","NA",-0.163,0.98,0.823,0.305,0.998,1.028,0.097,0.251,1.057
"P48436","SOX9","NA","NA",-0.3,-1.728,-1.873,0.062,-1.963,-1.536,-0.127,-0.133,-1.884
"P56693","SOX10","NA","NA",-0.3,-1.728,-1.873,0.062,-1.963,-1.536,-0.127,-0.133,-1.884
"P57073","SOX8","NA","NA",-0.3,-1.728,-1.873,0.062,-1.963,-1.536,-0.127,-0.133,-1.884
"Q04887","Sox9","NA","NA",-0.3,-1.728,-1.873,0.062,-1.963,-1.536,-0.127,-0.133,-1.884
"Q04886","Sox8","NA","NA",-0.3,-1.728,-1.873,0.062,-1.963,-1.536,-0.127,-0.133,-1.884
"P40939","HADHA","NA","NA",-0.184,0.164,0.067,0.336,0.251,0.317,0.135,0.152,0.224
"O95782","AP2A1","NA","NA",-0.302,-0.121,-0.124,-0.005,-0.095,-0.002,0.026,-0.218,-0.131
"P17426","Ap2a1","NA","NA",-0.302,-0.121,-0.124,-0.005,-0.095,-0.002,0.026,-0.218,-0.131
"Q9UEE9","CFDP1","NA","NA",-0.198,-0.836,-0.916,0.03,-0.769,-0.677,-0.047,-0.192,-0.915
"Q14978","NOLC1","NA","NA",-0.016,0.174,-0.2,0.34,-0.048,0.249,0.428,0.094,-0.167
"Q15291","RBBP5","NA","NA",-0.166,-0.399,-0.444,-0.006,-0.871,-0.443,-0.004,-0.155,-0.601
"O75521","ECI2","NA","NA",-0.608,1.111,1.19,0.237,1.375,1.31,0.279,0.063,1.424
"P48735","IDH2","NA","NA",-0.121,0.574,0.121,0.219,0.82,0.681,0.082,0.013,0.116
"P54071","Idh2","NA","NA",-0.121,0.574,0.121,0.219,0.82,0.681,0.082,0.013,0.116
"P07910","HNRNPC","NA","NA",-0.463,-0.127,-0.524,0.179,-0.225,-0.019,-0.303,0.029,-0.586
"Q9Z204","Hnrnpc","NA","NA",-0.463,-0.127,-0.524,0.179,-0.225,-0.019,-0.303,0.029,-0.586
"P40939","HADHA","NA","NA",-0.182,0.578,0.256,0.212,0.751,0.57,0.195,0.046,0.349
"P54868","HMGCS2","NA","NA",-0.276,1.305,0.877,0.281,1.187,1.287,0.36,0.672,0.891
"Q8C4A5","Asxl3","NA","NA",-0.12,-0.1,-0.217,0.026,-0.159,-0.021,0.074,-0.248,-0.17
"P06748","NPM1","NA","NA",-0.099,1.291,0.967,0.233,1.501,1.371,0.283,0.239,0.986
"Q61937","Npm1","NA","NA",-0.099,1.291,0.967,0.233,1.501,1.371,0.283,0.239,0.986
"Q9ULT8","HECTD1","NA","NA",-0.153,-0.472,-0.457,0.102,-0.635,-0.191,-0.073,-0.079,-0.51
"Q9NQW7","XPNPEP1","NA","NA",-0.248,0.786,0.778,0.304,0.722,0.749,0.379,0.081,0.758
"Q6P1B1","Xpnpep1","NA","NA",-0.248,0.786,0.778,0.304,0.722,0.749,0.379,0.081,0.758
"Q00610","CLTC","NA","NA",0.416,0.949,0.75,0.679,1.108,0.687,0.615,0.44,0.85
"Q68FD5","Cltc","NA","NA",0.416,0.949,0.75,0.679,1.108,0.687,0.615,0.44,0.85
"Q9NZT1","CALML5","NA","NA",0.016,-1.122,-1.417,0.07,-1.362,-0.861,-0.078,-0.124,-1.346
"Q14978","NOLC1","NA","NA",-0.255,-0.482,-0.938,0.081,-0.949,-0.368,0.021,-0.249,-0.853
"O75874","IDH1","NA","NA",-0.209,0.41,0.366,0.059,0.627,0.587,0.054,-0.037,0.164
"O88844","Idh1","NA","NA",-0.209,0.41,0.366,0.059,0.627,0.587,0.054,-0.037,0.164
"P19338","NCL","NA","NA",-0.182,0.709,0.524,0.306,0.827,0.725,0.246,0.964,0.675
"Q9GZR7","DDX24","NA","NA",-0.157,0.034,-0.055,0.115,0.054,0.147,0.751,-0.071,0.154
"P17844","DDX5","NA","NA",-0.373,-0.118,-0.102,0.049,-0.231,-0.129,-0.156,-0.04,-0.182
"Q3LIE5","ADPRM","NA","NA",-0.177,0.031,-0.17,0.146,-0.088,0.034,-0.048,-0.17,-0.156
"Q96JC9","EAF1","NA","NA",-0.551,-1.047,-1.227,0.058,-0.981,-0.988,-0.14,-0.112,-1.268
"Q9NNW7","TXNRD2","NA","NA",-0.35,0.839,0.462,0.146,1.349,0.867,0.254,-0.18,0.429
"Q9JLT4","Txnrd2","NA","NA",-0.35,0.839,0.462,0.146,1.349,0.867,0.254,-0.18,0.429
"P06733","ENO1","NA","NA",0.059,0.896,0.74,0.379,1.1,0.824,0.531,0.27,0.755
"P17182","Eno1","NA","NA",0.059,0.896,0.74,0.379,1.1,0.824,0.531,0.27,0.755
"P15924","DSP","NA","NA",-0.108,-0.537,-0.694,0.041,-0.964,-0.894,-0.064,-0.164,-0.843
"Q00839","HNRNPU","NA","NA",-0.174,0.49,0.19,0.289,0.421,0.528,0.219,0.112,0.47
"Q8VEK3","Hnrnpu","NA","NA",-0.174,0.49,0.19,0.289,0.421,0.528,0.219,0.112,0.47
"O75150","RNF40","NA","NA",-0.139,-0.826,-0.703,0.116,-0.981,-0.786,-0.065,-0.288,-1.298
"Q3U319","Rnf40","NA","NA",-0.139,-0.826,-0.703,0.116,-0.981,-0.786,-0.065,-0.288,-1.298
"Q15233","NONO","NA","NA",-0.233,0.361,0.179,0.146,0.247,0.55,0.046,0.161,0.22
"Q96PK6","RBM14","NA","NA",-0.087,-0.386,-0.523,-0.004,-0.535,-0.271,0.074,-0.017,-0.387
"Q8C2Q3","Rbm14","NA","NA",-0.087,-0.386,-0.523,-0.004,-0.535,-0.271,0.074,-0.017,-0.387
"P10809","HSPD1","NA","NA",-0.247,0.191,0.099,0.155,0.248,0.321,0.229,0.078,0.033
"P78527","PRKDC","NA","NA",-0.21,0.293,0.55,0.188,0.511,0.573,0.12,0.305,0.167
"P99999","CYCS","NA","NA",-0.197,0.292,0.076,0.401,0.534,0.355,0.372,0.027,0.253
"P62897","Cycs","NA","NA",-0.197,0.292,0.076,0.401,0.534,0.355,0.372,0.027,0.253
"P04406","GAPDH","NA","NA",-0.517,0.727,0.328,0.232,1.097,0.854,-0.076,-0.464,0.449
"P16858","Gapdh","NA","NA",-0.517,0.727,0.328,0.232,1.097,0.854,-0.076,-0.464,0.449
"A0A096LP55","UQCRHL","NA","NA",-0.053,0.785,0.529,0.473,0.938,0.962,0.392,0.297,0.665
"P07919","UQCRH","NA","NA",-0.053,0.785,0.529,0.473,0.938,0.962,0.392,0.297,0.665
"O95865","DDAH2","NA","NA",-0.488,-1.546,-1.197,0.196,-1.474,-1.386,-0.029,-0.603,-1.3
"Q99LD8","Ddah2","NA","NA",-0.488,-1.546,-1.197,0.196,-1.474,-1.386,-0.029,-0.603,-1.3
"O00327","BMAL1","NA","NA",-0.048,0.193,-0.141,0.307,-0.074,0.023,0.43,0.122,-0.012
"Q9WTL8","Bmal1","NA","NA",-0.048,0.193,-0.141,0.307,-0.074,0.023,0.43,0.122,-0.012
"P07724","Alb","NA","NA",0.482,1.899,1.847,0.797,1.698,2.001,0.756,0.79,1.923
"Q5VYS4","MEDAG","NA","NA",-0.087,-0.322,-0.578,0.271,-0.638,-0.455,0.11,0.095,-0.583
"P31948","STIP1","NA","NA",-0.237,0.663,0.629,0.287,0.454,0.89,0.314,0.159,0.76
"Q60864","Stip1","NA","NA",-0.237,0.663,0.629,0.287,0.454,0.89,0.314,0.159,0.76
"P29401","TKT","NA","NA",-0.126,0.965,0.751,0.276,1.358,1.14,0.408,0.109,0.726
"P11142","HSPA8","NA","NA",0.002,0.214,0.083,0.202,0.202,0.252,0.035,0.173,0.071
"P63017","Hspa8","NA","NA",0.002,0.214,0.083,0.202,0.202,0.252,0.035,0.173,0.071
"P48735","IDH2","NA","NA",-0.218,0.343,0.165,0.242,0.257,0.488,0.045,-0.028,0.206
"P54071","Idh2","NA","NA",-0.218,0.343,0.165,0.242,0.257,0.488,0.045,-0.028,0.206
"P51610","HCFC1","NA","NA",-0.044,-0.332,-0.618,0.099,-0.231,-0.352,0.233,-0.218,-0.571
"Q61191","Hcfc1","NA","NA",-0.044,-0.332,-0.618,0.099,-0.231,-0.352,0.233,-0.218,-0.571
"Q9HD33","MRPL47","NA","NA",-0.136,0.29,0.223,0.222,0.264,0.435,0.089,0.062,0.192
"Q9D8N0","Eef1g","NA","NA",-0.132,-0.508,-0.501,0.078,-0.618,-0.524,0.003,-0.035,-0.577
"Q04206","RELA","NA","NA",-0.115,0.347,0.216,0.146,0.246,0.425,0.2,0.074,0.264
"P61221","ABCE1","NA","NA",0.039,-0.905,-0.994,0.14,-0.703,-0.624,0.137,-0.07,-0.925
"P61222","Abce1","NA","NA",0.039,-0.905,-0.994,0.14,-0.703,-0.624,0.137,-0.07,-0.925
"O14929","HAT1","NA","NA",-0.14,-1.447,-1.532,-0.051,-2.002,-1.418,-0.148,-0.275,-1.511
"Q8BY71","Hat1","NA","NA",-0.14,-1.447,-1.532,-0.051,-2.002,-1.418,-0.148,-0.275,-1.511
"P09622","DLD","NA","NA",-0.237,0.132,-0.155,-0.011,0.178,0.197,0.237,-0.304,-0.065
"O08749","Dld","NA","NA",-0.237,0.132,-0.155,-0.011,0.178,0.197,0.237,-0.304,-0.065
"Q96HS1","PGAM5","NA","NA",-0.386,0.863,0.251,0.166,0.91,0.567,0.138,-0.159,0.369
"Q8BX10","Pgam5","NA","NA",-0.386,0.863,0.251,0.166,0.91,0.567,0.138,-0.159,0.369
"Q96HS1","PGAM5","NA","NA",-0.386,0.863,0.251,0.166,0.91,0.567,0.138,-0.159,0.369
"Q8BX10","Pgam5","NA","NA",-0.386,0.863,0.251,0.166,0.91,0.567,0.138,-0.159,0.369
"Q6P1Y8","Inpp4b","NA","NA",-0.295,-0.409,-0.556,0.127,-0.186,-0.579,0.271,-0.204,-0.622
"P13639","EEF2","NA","NA",-0.098,0.327,0.288,0.216,0.153,0.272,0.234,0.05,0.226
"P58252","Eef2","NA","NA",-0.098,0.327,0.288,0.216,0.153,0.272,0.234,0.05,0.226
"P43487","RANBP1","NA","NA",-0.173,-0.031,-0.18,0.163,0.009,0.135,0.078,-0.154,-0.079
"P34022","Ranbp1","NA","NA",-0.173,-0.031,-0.18,0.163,0.009,0.135,0.078,-0.154,-0.079
"Q9Y2Q3","GSTK1","NA","NA",-0.213,-0.181,-0.397,-0.164,0.052,-0.107,0.291,-0.542,-0.315
"O75525","KHDRBS3","NA","NA",-0.235,-0.129,-0.447,0.086,-0.348,-0.159,0.407,0.005,-0.331
"Q9R226","Khdrbs3","NA","NA",-0.235,-0.129,-0.447,0.086,-0.348,-0.159,0.407,0.005,-0.331
"P10809","HSPD1","NA","NA",-0.12,0.577,0.507,0.314,0.624,0.739,0.171,0.273,0.618
"P63038","Hspd1","NA","NA",-0.12,0.577,0.507,0.314,0.624,0.739,0.171,0.273,0.618
"Q96HP0","DOCK6","NA","NA",-0.192,0.064,-0.183,0.109,0.073,0.01,0.183,-0.268,-0.281
"P08670","VIM","NA","NA",-0.211,0.796,0.856,0.159,0.862,0.843,0.192,-0.146,0.918
"P20152","Vim","NA","NA",-0.211,0.796,0.856,0.159,0.862,0.843,0.192,-0.146,0.918
"Q92945","KHSRP","NA","NA",-0.451,-0.141,-0.277,-0.073,-0.205,0.051,0.057,-0.073,-0.38
"O60664","PLIN3","NA","NA",-0.239,0.631,0.878,0.331,0.611,0.749,0.431,0.15,0.721
"P02768","ALB","NA","NA",-0.2,0.796,0.879,0.392,0.693,0.9,0.154,0.513,0.949
"P07724","Alb","NA","NA",-0.2,0.796,0.879,0.392,0.693,0.9,0.154,0.513,0.949
"P49748","ACADVL","NA","NA",-0.314,0.461,0.396,0.152,0.461,0.431,0.271,0.066,0.49
"P50544","Acadvl","NA","NA",-0.314,0.461,0.396,0.152,0.461,0.431,0.271,0.066,0.49
"Q9CQF3","Nudt21","NA","NA",-0.153,0.302,0.32,0.211,0.156,0.225,0.577,0.028,0.249
"P08758","ANXA5","NA","NA",0.194,-0.125,-0.22,0.103,0.166,-0.039,0.348,-0.046,-0.233
"P48036","Anxa5","NA","NA",0.194,-0.125,-0.22,0.103,0.166,-0.039,0.348,-0.046,-0.233
"P63313","TMSB10","NA","NA",0.162,-0.026,-0.163,0.167,-0.254,-0.06,0.072,0.032,-0.2
"Q6ZWY8","Tmsb10","NA","NA",0.162,-0.026,-0.163,0.167,-0.254,-0.06,0.072,0.032,-0.2
"P12236","SLC25A6","NA","NA",-0.738,-0.241,-0.437,-0.22,-0.156,-0.241,-0.144,-0.437,-0.402
"Q15059","BRD3","NA","NA",-0.161,-0.055,-0.2,0.316,-0.18,-0.14,0.146,-0.02,-0.236
"Q8K2F0","Brd3","NA","NA",-0.161,-0.055,-0.2,0.316,-0.18,-0.14,0.146,-0.02,-0.236
"Q921I1","Tf","NA","NA",-0.081,0.546,0.506,0.178,0.509,0.369,-0.018,0.287,0.551
"Q9QZA0","Ca5b","NA","NA",-0.221,0.559,-0.104,0.124,0.445,0.486,-0.055,0.034,0.075
"Q9UHQ9","CYB5R1","NA","NA",0.051,1.097,0.698,0.304,1.415,1.008,0.752,0.458,0.892
"P04406","GAPDH","NA","NA",-0.272,1.007,1.027,0.379,1.271,1.12,0.145,0.327,0.934
"Q96EK6","GNPNAT1","NA","NA",-0.27,0.879,0.806,0.223,0.655,0.928,0.142,0.385,0.667
