"Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"Q64524","H2bc21","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"Q6ZWY9","H2bc4","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"P10854","H2bc14","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"P10853","H2bc7","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"Q8CGP1","H2bc12","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"P07758","Serpina1a","NA","NA",-0.019,1.539,1.621,0.213,1.28,1.656,0.134,0.161,1.775
"Q00898","Serpina1e","NA","NA",-0.019,1.539,1.621,0.213,1.28,1.656,0.134,0.161,1.775
"P17096","HMGA1","NA","NA",-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
"P17095","Hmga1","NA","NA",-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
"P07108","DBI","NA","NA",0.037,0.671,0.676,0.232,1.346,0.652,0.564,0.194,0.714
"P22599","Serpina1b","NA","NA",-0.192,2.251,2.391,0.61,1.988,2.246,0.341,0.245,2.453
"Q16695","H3-4","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"Q71DI3","H3C15","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P84243","H3-3A","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P68431","H3C1","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"Q6NXT2","H3-5","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P84244","H3-3a","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P84228","H3c2","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P68433","H3c1","NA","NA",-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P06748","NPM1","NA","NA",-0.13,1.023,0.621,0.115,1.12,0.957,0.051,-0.128,0.677
"Q61937","Npm1","NA","NA",-0.13,1.023,0.621,0.115,1.12,0.957,0.051,-0.128,0.677
"Q96N64","PWWP2A","NA","NA",-0.302,0.034,-0.15,0.013,-0.166,0.053,-0.073,-0.138,-0.074
"Q69Z61","Pwwp2a","NA","NA",-0.302,0.034,-0.15,0.013,-0.166,0.053,-0.073,-0.138,-0.074
"Q5QNW6","H2BC18","NA","NA",-0.214,-0.901,-0.916,0.133,-1.177,-0.827,-0.06,-0.308,-0.911
"Q64525","Hist2h2bb","NA","NA",-0.214,-0.901,-0.916,0.133,-1.177,-0.827,-0.06,-0.308,-0.911
"P06748","NPM1","NA","NA",-0.589,0.911,0.587,0.317,0.821,0.902,0.256,0.003,0.656
"P60981","DSTN","NA","NA",-0.533,1.251,0.39,0.182,1.192,1.235,-0.216,-0.31,0.676
"P04406","GAPDH","NA","NA",-0.125,1.62,1.582,0.353,1.778,1.579,0.33,-0.127,1.543
