accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_033736,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_031418,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_033740,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_780706,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_031419,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_033739,-0.199,0.526,0.471,0.13,0.534,0.503,0.172,0.067,0.457
NP_001279,-0.458,0.024,0.148,-0.02,0.159,0.025,0.052,-0.381,0.018
NP_254279,-0.458,0.024,0.148,-0.02,0.159,0.025,0.052,-0.381,0.018
NP_003150,0.073,-0.341,-0.262,0.417,-0.714,-0.535,-0.238,-0.142,-0.601
NP_001019795,0.073,-0.341,-0.262,0.417,-0.714,-0.535,-0.238,-0.142,-0.601
NP_079422,-0.223,-0.376,-0.543,0.1,-0.493,-0.32,-0.015,-0.091,-0.457
NP_082384,-0.223,-0.376,-0.543,0.1,-0.493,-0.32,-0.015,-0.091,-0.457
NP_002037,-0.488,1.351,0.989,0.396,1.47,1.248,0.207,-0.034,1.237
NP_001243728,-0.488,1.351,0.989,0.396,1.47,1.248,0.207,-0.034,1.237
NP_057926,-0.311,-0.687,-0.966,0.259,-0.094,-0.634,-0.272,0.237,-0.621
