accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_056602,0.085,0.631,0.37,0.338,0.469,0.619,0.45,0.233,0.398
NP_003565,0.051,0.956,1.11,0.276,1.653,1.253,0.431,0.411,0.993
NP_919415,0.051,0.956,1.11,0.276,1.653,1.253,0.431,0.411,0.993
NP_038961,0.051,0.956,1.11,0.276,1.653,1.253,0.431,0.411,0.993
NP_006303,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
NP_001193583,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
NP_001070729,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
NP_035554,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
NP_001240833,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
NP_001240834,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
NP_001160158,-0.823,0.084,-0.379,0.073,0.171,-0.117,-0.163,-0.769,-0.374
NP_000280,-0.823,0.084,-0.379,0.073,0.171,-0.117,-0.163,-0.769,-0.374
NP_001156960,-0.823,0.084,-0.379,0.073,0.171,-0.117,-0.163,-0.769,-0.374
NP_003964,-0.273,-0.085,-0.453,-0.234,-0.079,-0.393,0.274,-0.159,-0.531
NP_080250,-0.273,-0.085,-0.453,-0.234,-0.079,-0.393,0.274,-0.159,-0.531
NP_055398,-0.179,2.469,1.983,0.605,2.19,2.437,0.872,0.287,2.101
NP_001265164,-0.179,2.469,1.983,0.605,2.19,2.437,0.872,0.287,2.101
NP_005112,0.887,-0.581,0.064,0.266,-1.634,-0.951,0.477,0.691,-0.158
NP_001074400,0.887,-0.581,0.064,0.266,-1.634,-0.951,0.477,0.691,-0.158
NP_003119,0.24,0.211,-0.078,0.36,0.3,0.35,0.35,0.023,0.169
NP_787030,0.24,0.211,-0.078,0.36,0.3,0.35,0.35,0.023,0.169
NP_116294,-0.053,0.565,0.506,0.366,0.452,0.335,0.2,-0.012,0.596
NP_690037,-0.053,0.565,0.506,0.366,0.452,0.335,0.2,-0.012,0.596
NP_001189489,-0.197,-0.64,-0.556,-0.122,-0.745,-0.8,-0.185,-0.102,-0.563
NP_059998,-0.197,-0.64,-0.556,-0.122,-0.745,-0.8,-0.185,-0.102,-0.563
NP_004068,-0.262,1.366,0.832,0.436,1.527,1.527,0.158,-0.182,2.001
NP_002694,-0.251,-0.144,-0.337,0.062,-0.314,-0.023,0.02,-0.015,-0.253
NP_742158,-0.251,-0.144,-0.337,0.062,-0.314,-0.023,0.02,-0.015,-0.253
NP_006161,-0.188,-0.118,-0.365,0.175,-0.566,-0.125,0.359,-0.125,-0.406
NP_001245239,-0.188,-0.118,-0.365,0.175,-0.566,-0.125,0.359,-0.125,-0.406
NP_075638,0.054,0.157,0.185,0.393,0.033,0.196,0.332,0.254,0.178
NP_006810,-0.447,0.398,0.127,0.249,0.404,0.411,0.082,0.02,0.172
NP_058017,-0.447,0.398,0.127,0.249,0.404,0.411,0.082,0.02,0.172
NP_001949,-0.226,0.777,0.5,0.38,0.387,0.621,0.229,-0.27,0.434
NP_001393,-0.226,0.777,0.5,0.38,0.387,0.621,0.229,-0.27,0.434
NP_031932,-0.226,0.777,0.5,0.38,0.387,0.621,0.229,-0.27,0.434
NP_034236,-0.226,0.777,0.5,0.38,0.387,0.621,0.229,-0.27,0.434
NP_001779,-0.141,-0.115,0.044,-0.025,-0.131,0.095,0.126,0.192,0.082
NP_001011553,-0.141,-0.115,0.044,-0.025,-0.131,0.095,0.126,0.192,0.082
NP_001229885,-0.141,-0.115,0.044,-0.025,-0.131,0.095,0.126,0.192,0.082
NP_033989,-0.141,-0.115,0.044,-0.025,-0.131,0.095,0.126,0.192,0.082
NP_001192296,-0.141,-0.115,0.044,-0.025,-0.131,0.095,0.126,0.192,0.082
NP_002874,-0.129,-0.347,-0.307,-0.022,-0.174,-0.323,0.285,0.02,-0.329
NP_035371,-0.129,-0.347,-0.307,-0.022,-0.174,-0.323,0.285,0.02,-0.329
NP_009034,-0.166,-0.185,-0.151,0.082,-0.043,-0.007,0.002,0.029,-0.373
NP_001159574,-0.166,-0.185,-0.151,0.082,-0.043,-0.007,0.002,0.029,-0.373
NP_031531,-0.441,-0.7,-0.918,0.342,-0.847,-0.723,-0.192,-0.289,-0.921
NP_001001973,-0.522,0.347,0.008,0.182,0.41,0.487,0.228,0.242,0.028
NP_005165,-0.522,0.347,0.008,0.182,0.41,0.487,0.228,0.242,0.028
NP_065640,-0.522,0.347,0.008,0.182,0.41,0.487,0.228,0.242,0.028
NP_001106209,-0.522,0.347,0.008,0.182,0.41,0.487,0.228,0.242,0.028
NP_001244928,-1.795,-2.144,-2.488,-1.738,-0.088,-2.598,-2.481,-0.139,-1.786
NP_057460,-1.795,-2.144,-2.488,-1.738,-0.088,-2.598,-2.481,-0.139,-1.786
NP_033801,-1.795,-2.144,-2.488,-1.738,-0.088,-2.598,-2.481,-0.139,-1.786
NP_001242941,-0.155,-0.279,-0.552,0.164,-0.193,-0.256,0.116,0.043,-0.421
NP_001243024,-0.155,-0.279,-0.552,0.164,-0.193,-0.256,0.116,0.043,-0.421
NP_005955,-0.155,-0.279,-0.552,0.164,-0.193,-0.256,0.116,0.043,-0.421
NP_780469,-0.155,-0.279,-0.552,0.164,-0.193,-0.256,0.116,0.043,-0.421
NP_006627,0.068,0.632,0.587,0.151,0.667,0.791,0.519,-0.277,0.473
NP_001350,-0.337,0.314,0.332,0.119,0.432,0.844,0.006,-0.186,0.136
NP_006746,-0.349,0.389,0.121,0.207,0.415,0.401,-0.124,-0.132,0.154
NP_000282,-0.286,-1.321,-1.875,0.113,-1.93,-1.348,-0.527,-0.373,-1.927
NP_032854,-0.286,-1.321,-1.875,0.113,-1.93,-1.348,-0.527,-0.373,-1.927
NP_112467,-0.286,-1.321,-1.875,0.113,-1.93,-1.348,-0.527,-0.373,-1.927
NP_005564,-0.193,0.698,0.638,0.17,0.719,0.678,0.303,0.207,0.62
NP_034851,-0.193,0.698,0.638,0.17,0.719,0.678,0.303,0.207,0.62
NP_001029366,-0.217,-0.373,-0.408,0.032,-0.588,-0.44,-0.033,-0.158,-0.535
NP_005024,-0.217,-0.373,-0.408,0.032,-0.588,-0.44,-0.033,-0.158,-0.535
NP_001753,-0.224,0.292,0.106,0.152,0.239,0.216,0.181,-0.249,0.025
NP_001009186,-0.224,0.292,0.106,0.152,0.239,0.216,0.181,-0.249,0.025
NP_033968,-0.224,0.292,0.106,0.152,0.239,0.216,0.181,-0.249,0.025
NP_055181,-0.044,-1.599,-1.646,-0.079,-2.409,-1.39,-0.211,-0.424,-1.922
NP_996561,-0.044,-1.599,-1.646,-0.079,-2.409,-1.39,-0.211,-0.424,-1.922
NP_705775,-0.044,-1.599,-1.646,-0.079,-2.409,-1.39,-0.211,-0.424,-1.922
NP_002119,-0.202,-0.168,-0.695,-0.043,-0.415,-0.243,0.143,-0.347,-0.451
NP_001124160,-0.202,-0.168,-0.695,-0.043,-0.415,-0.243,0.143,-0.347,-0.451
NP_034569,-0.202,-0.168,-0.695,-0.043,-0.415,-0.243,0.143,-0.347,-0.451
NP_032278,-0.202,-0.168,-0.695,-0.043,-0.415,-0.243,0.143,-0.347,-0.451
NP_002782,-0.293,-0.541,-0.494,0.111,-0.482,-0.484,-0.094,-0.2,-0.559
NP_036098,-0.293,-0.541,-0.494,0.111,-0.482,-0.484,-0.094,-0.2,-0.559
NP_055551,-0.451,0.491,0.202,0.112,0.727,0.638,0.104,-0.101,0.378
NP_001087,-0.026,0.038,-0.077,0.034,0.108,0.028,0.443,0.007,0.063
NP_942127,-0.026,0.038,-0.077,0.034,0.108,0.028,0.443,0.007,0.063
NP_001186225,-0.026,0.038,-0.077,0.034,0.108,0.028,0.443,0.007,0.063
NP_598798,-0.026,0.038,-0.077,0.034,0.108,0.028,0.443,0.007,0.063
NP_001257766,-0.182,0.081,0.169,0.206,0.278,0.346,0.201,-0.048,0.258
NP_001303,-0.182,0.081,0.169,0.206,0.278,0.346,0.201,-0.048,0.258
NP_005611,-0.255,-0.352,-0.494,0.075,-0.337,-0.393,-0.317,-0.132,-0.252
NP_005309,-0.682,0.755,0.94,0.097,0.427,1.081,0.128,-0.222,0.95
NP_032223,-0.682,0.755,0.94,0.097,0.427,1.081,0.128,-0.222,0.95
NP_705795,0.716,0.445,0.633,0.291,0.358,0.391,0.482,0.134,0.701
NP_446464,-0.281,0.17,0.117,0.437,0.201,-0.056,0.052,0.248,0.021
NP_001003694,-0.006,-0.571,-0.722,0.172,-0.643,-0.516,0.235,-0.008,-0.755
NP_004625,-0.006,-0.571,-0.722,0.172,-0.643,-0.516,0.235,-0.008,-0.755
NP_056510,-0.006,-0.571,-0.722,0.172,-0.643,-0.516,0.235,-0.008,-0.755
NP_084454,-0.006,-0.571,-0.722,0.172,-0.643,-0.516,0.235,-0.008,-0.755
NP_001074784,-0.006,-0.571,-0.722,0.172,-0.643,-0.516,0.235,-0.008,-0.755
NP_055392,-0.006,-0.571,-0.722,0.172,-0.643,-0.516,0.235,-0.008,-0.755
NP_001028446,-0.006,-0.571,-0.722,0.172,-0.643,-0.516,0.235,-0.008,-0.755
NP_002147,-0.222,0.481,0.259,0.117,0.427,0.468,0.148,0.059,-0.047
NP_034607,-0.222,0.481,0.259,0.117,0.427,0.468,0.148,0.059,-0.047
NP_033784,-0.35,0.316,0.46,0.046,0.155,0.469,-0.08,-0.374,0.398
NP_055456,-0.224,-0.417,-0.725,0.094,-0.696,-0.419,0.19,-0.043,-0.739
NP_001146,0.176,0.929,0.671,0.125,0.821,0.6,-0.08,-0.274,0.906
NP_001180473,0.176,0.929,0.671,0.125,0.821,0.6,-0.08,-0.274,0.906
NP_002458,-0.256,-0.897,-1.346,0.057,-1.167,-0.816,0.066,-0.102,-1.186
NP_034979,-0.256,-0.897,-1.346,0.057,-1.167,-0.816,0.066,-0.102,-1.186
NP_001170824,-0.256,-0.897,-1.346,0.057,-1.167,-0.816,0.066,-0.102,-1.186
NP_001170823,-0.256,-0.897,-1.346,0.057,-1.167,-0.816,0.066,-0.102,-1.186
NP_644805,-0.23,-0.025,-0.061,0.132,-0.173,-0.08,0.127,0.062,-0.032
NP_003141,-0.23,-0.025,-0.061,0.132,-0.173,-0.08,0.127,0.062,-0.032
NP_998827,-0.23,-0.025,-0.061,0.132,-0.173,-0.08,0.127,0.062,-0.032
NP_998824,-0.23,-0.025,-0.061,0.132,-0.173,-0.08,0.127,0.062,-0.032
NP_998825,-0.23,-0.025,-0.061,0.132,-0.173,-0.08,0.127,0.062,-0.032
NP_035616,-0.23,-0.025,-0.061,0.132,-0.173,-0.08,0.127,0.062,-0.032
NP_001017963,-0.013,0.828,0.556,0.545,0.926,0.818,0.645,2.125,0.488
NP_005339,-0.013,0.828,0.556,0.545,0.926,0.818,0.645,2.125,0.488
NP_004406,-0.164,-1.508,-1.582,-0.118,-1.597,-1.087,-0.347,-0.502,-1.433
NP_001008844,-0.164,-1.508,-1.582,-0.118,-1.597,-1.087,-0.347,-0.502,-1.433
NP_001036015,-0.171,0.018,-0.024,0.23,0.451,0.328,0.101,-0.111,-0.092
NP_061932,-0.171,0.018,-0.024,0.23,0.451,0.328,0.101,-0.111,-0.092
NP_079670,-0.171,0.018,-0.024,0.23,0.451,0.328,0.101,-0.111,-0.092
NP_005882,0.448,1.003,1.081,0.189,0.377,1.146,0.713,0.634,1.197
NP_002464,-0.501,0.278,0.312,-0.068,0.289,0.526,-0.129,-0.163,0.221
NP_005925,-0.19,-1.224,-1.575,0.079,-2.107,-0.953,-0.24,-0.017,-1.366
NP_054706,-0.182,1.152,0.991,0.141,1.582,0.924,1.374,1.71,1.166
NP_003364,-0.182,1.152,0.991,0.141,1.582,0.924,1.374,1.71,1.166
NP_033528,-0.182,1.152,0.991,0.141,1.582,0.924,1.374,1.71,1.166
NP_001035879,-0.152,0.371,-0.002,0.379,0.146,0.447,0.272,-0.338,0.048
NP_079958,-0.152,0.371,-0.002,0.379,0.146,0.447,0.272,-0.338,0.048
NP_002815,-0.323,0.06,-0.167,-0.055,-0.3,-0.187,-0.104,-0.127,-0.328
NP_002071,-0.154,0.298,0.228,0.2,0.667,0.378,0.337,-0.153,0.152
NP_034455,-0.154,0.298,0.228,0.2,0.667,0.378,0.337,-0.153,0.152
NP_004337,-0.32,-0.021,-0.133,0.167,0.029,-0.119,0.17,-0.133,-0.043
NP_066554,0.25,-0.21,-0.115,0.229,-1.436,-0.31,0.568,0.372,-0.208
NP_057648,0.25,-0.21,-0.115,0.229,-1.436,-0.31,0.568,0.372,-0.208
NP_002147,-0.002,1.815,0.982,0.708,1.97,1.681,0.728,-0.319,1.272
NP_034607,-0.002,1.815,0.982,0.708,1.97,1.681,0.728,-0.319,1.272
NP_003960,-0.288,0.484,0.297,0.238,0.401,0.491,-0.251,-0.077,0.262
NP_663553,-0.288,0.484,0.297,0.238,0.401,0.491,-0.251,-0.077,0.262
NP_001419,0.103,0.516,0.238,0.223,0.312,0.346,0.393,0.12,0.38
NP_001188412,0.103,0.516,0.238,0.223,0.312,0.346,0.393,0.12,0.38
NP_006321,-0.384,0.179,0.208,0.007,0.119,0.308,0.051,0.833,0.284
NP_001266287,-0.384,0.179,0.208,0.007,0.119,0.308,0.051,0.833,0.284
NP_001266286,-0.384,0.179,0.208,0.007,0.119,0.308,0.051,0.833,0.284
NP_001266285,-0.384,0.179,0.208,0.007,0.119,0.308,0.051,0.833,0.284
NP_001266288,-0.384,0.179,0.208,0.007,0.119,0.308,0.051,0.833,0.284
NP_001266289,-0.384,0.179,0.208,0.007,0.119,0.308,0.051,0.833,0.284
NP_032892,-0.384,0.179,0.208,0.007,0.119,0.308,0.051,0.833,0.284
NP_071855,0.002,0.106,0.208,0.164,0.142,0.627,0.408,3.627,0.295
NP_001074852,-0.084,0.151,0.015,0.352,0.061,0.214,0.263,-0.052,0.179
NP_004300,-0.289,0.583,0.668,0.05,0.552,0.591,0.169,0.175,0.631
NP_001172007,-0.289,0.583,0.668,0.05,0.552,0.591,0.169,0.175,0.631
NP_598557,-0.289,0.583,0.668,0.05,0.552,0.591,0.169,0.175,0.631
NP_001032583,-0.083,0.173,0.181,0.082,0.051,0.119,0.014,-0.128,0.116
NP_062656,-0.083,0.173,0.181,0.082,0.051,0.119,0.014,-0.128,0.116
NP_003463,-0.221,-1.956,-1.938,-0.012,-2.307,-1.788,-0.232,-0.116,-2.298
NP_001128181,-0.221,-1.956,-1.938,-0.012,-2.307,-1.788,-0.232,-0.116,-2.298
NP_080176,-0.221,-1.956,-1.938,-0.012,-2.307,-1.788,-0.232,-0.116,-2.298
NP_006421,-0.211,0.674,0.737,0.228,0.502,0.76,-0.014,-0.016,0.68
NP_001243650,-0.211,0.674,0.737,0.228,0.502,0.76,-0.014,-0.016,0.68
NP_033967,-0.211,0.674,0.737,0.228,0.502,0.76,-0.014,-0.016,0.68
NP_003709,-0.109,0.178,-0.233,0.02,-0.013,0.062,0.353,0.825,-0.062
NP_112557,-0.109,0.178,-0.233,0.02,-0.013,0.062,0.353,0.825,-0.062
NP_665858,-0.142,-0.502,-1.076,0.077,-1.127,-0.661,-0.003,-0.188,-0.962
NP_062719,-0.142,-0.502,-1.076,0.077,-1.127,-0.661,-0.003,-0.188,-0.962
NP_033444,-0.143,-1.95,-2.624,-0.036,-2.659,-2.025,0.011,-0.247,-2.505
NP_003087,0.137,0.071,-0.217,-0.036,0.003,0.063,0.29,1.885,0.028
NP_080782,0.137,0.071,-0.217,-0.036,0.003,0.063,0.29,1.885,0.028
NP_036455,-0.323,-0.363,-0.438,-0.121,-0.301,-0.258,-0.124,-0.287,-0.418
NP_612510,-0.065,0.598,0.348,0.203,0.744,0.567,0.111,-0.079,0.313
NP_598879,-0.065,0.598,0.348,0.203,0.744,0.567,0.111,-0.079,0.313
NP_081455,-0.065,0.598,0.348,0.203,0.744,0.567,0.111,-0.079,0.313
NP_055644,0.084,0.061,-0.011,0.268,-0.116,0.14,0.162,0.142,-0.207
NP_666087,0.084,0.061,-0.011,0.268,-0.116,0.14,0.162,0.142,-0.207
NP_001853,-0.133,0.362,0.069,0.201,0.59,0.266,0.016,-0.204,0.047
NP_000282,0.098,-0.176,-0.059,-0.173,0.322,-0.166,0.058,0.043,-0.088
NP_001931,-0.02,-0.13,-0.283,0.049,-0.345,-0.411,-0.227,-0.155,-0.206
NP_031907,-0.02,-0.13,-0.283,0.049,-0.345,-0.411,-0.227,-0.155,-0.206
NP_034389,-0.075,-0.445,-0.611,0.059,-0.665,-0.467,-0.007,-0.024,-0.627
NP_034390,-0.075,-0.445,-0.611,0.059,-0.665,-0.467,-0.007,-0.024,-0.627
NP_006139,-0.487,0.104,0.02,-0.175,0.039,0.138,0.039,-0.321,-0.021
NP_034818,-0.487,0.104,0.02,-0.175,0.039,0.138,0.039,-0.321,-0.021
NP_057406,-0.261,0.088,-0.026,0.077,-0.153,0.036,0.081,1.457,-0.052
NP_080973,-0.261,0.088,-0.026,0.077,-0.153,0.036,0.081,1.457,-0.052
NP_006730,-0.06,0.066,-0.238,0.276,0.007,0.175,0.225,1.428,-0.085
NP_733751,-0.082,-0.288,-0.123,0.086,-0.064,0.066,0.334,0.977,-0.003
NP_001243355,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_006448,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001011513,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001243356,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001243357,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001243354,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001177781,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_062782,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001177785,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001177784,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_001177783,-0.273,-0.664,-0.742,0.113,-1.106,-0.321,0.42,0.049,-0.775
NP_000174,-0.075,0.259,0.025,0.252,-0.094,0.306,-0.013,-0.106,0.012
NP_060676,-0.34,-1.415,-1.812,-0.223,-1.555,-1.357,0.2,-0.197,-1.361
NP_075373,-0.34,-1.415,-1.812,-0.223,-1.555,-1.357,0.2,-0.197,-1.361
NP_006003,-0.451,-0.495,-0.375,-0.196,-0.435,-0.359,-0.08,-0.386,-0.521
NP_059089,-0.451,-0.495,-0.375,-0.196,-0.435,-0.359,-0.08,-0.386,-0.521
NP_006347,0.059,0.214,0.279,0.322,0.529,0.466,0.038,0.038,0.365
NP_006704,-0.119,-0.023,-0.177,0.126,-0.145,0.017,0.044,-0.06,0.011
NP_035424,-0.119,-0.023,-0.177,0.126,-0.145,0.017,0.044,-0.06,0.011
NP_001119522,0.2,-0.834,-0.871,0.202,-0.373,-0.518,-0.13,-0.606,-0.507
NP_004485,0.2,-0.834,-0.871,0.202,-0.373,-0.518,-0.13,-0.606,-0.507
NP_001119523,0.2,-0.834,-0.871,0.202,-0.373,-0.518,-0.13,-0.606,-0.507
NP_001032583,0.591,-0.438,-0.034,0.07,-0.664,-0.459,0.343,0.442,-0.351
NP_062656,0.591,-0.438,-0.034,0.07,-0.664,-0.459,0.343,0.442,-0.351
NP_001001185,0.591,-0.438,-0.034,0.07,-0.664,-0.459,0.343,0.442,-0.351
NP_000971,0.231,-0.886,-0.516,0.022,-0.669,-0.792,0.05,0.269,-0.709
NP_084027,0.231,-0.886,-0.516,0.022,-0.669,-0.792,0.05,0.269,-0.709
NP_060090,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_036350,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_001131145,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_004507,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_703194,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_034691,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_001264250,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_001036172,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_001036173,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_001036174,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_060857,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_001164608,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_033287,-0.207,0.568,0.216,0.042,0.733,0.52,0.195,0.232,0.404
NP_004575,-0.153,-0.328,-0.603,0.308,-0.107,-0.147,0.119,0.088,-0.385
NP_001138632,-0.137,0.302,-0.56,0.606,-0.268,-0.171,-0.064,-0.41,-0.378
NP_003281,-0.137,0.302,-0.56,0.606,-0.268,-0.171,-0.064,-0.41,-0.378
NP_001001491,-0.137,0.302,-0.56,0.606,-0.268,-0.171,-0.064,-0.41,-0.378
NP_003177,-0.28,0.059,0.052,0.172,-0.048,0.113,0.256,-0.116,0.019
NP_035656,-0.28,0.059,0.052,0.172,-0.048,0.113,0.256,-0.116,0.019
NP_006588,0.23,1.019,0.864,-0.026,1.013,0.995,0.996,0.095,0.624
NP_068814,0.23,1.019,0.864,-0.026,1.013,0.995,0.996,0.095,0.624
NP_694881,0.23,1.019,0.864,-0.026,1.013,0.995,0.996,0.095,0.624
NP_112442,0.23,1.019,0.864,-0.026,1.013,0.995,0.996,0.095,0.624
NP_032327,0.23,1.019,0.864,-0.026,1.013,0.995,0.996,0.095,0.624
NP_005508,-0.069,-0.24,-0.541,0.067,-0.292,-0.184,-0.196,-0.195,-0.456
NP_036205,-0.167,0.439,0.313,0.258,0.516,0.527,0.201,0.197,0.367
NP_031663,-0.167,0.439,0.313,0.258,0.516,0.527,0.201,0.197,0.367
NP_055642,-0.62,-1.322,-1.768,0.018,-1.852,-1.668,-0.075,-0.69,-2.077
NP_066964,-0.153,0.58,0.198,0.24,0.87,0.554,0.392,-0.124,0.421
NP_060667,-0.013,-0.305,-0.538,0.063,-0.463,-0.038,0.088,0.024,-0.816
NP_955458,-0.013,-0.305,-0.538,0.063,-0.463,-0.038,0.088,0.024,-0.816
NP_955459,-0.013,-0.305,-0.538,0.063,-0.463,-0.038,0.088,0.024,-0.816
NP_006576,-0.115,0.802,0.377,0.134,0.719,0.571,0.058,0.02,0.308
NP_060090,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_036350,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_001131145,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_004507,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_703194,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_034691,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_001264250,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_001036172,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_001036173,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_001036174,-0.039,0.142,-0.03,0.117,0.11,0.034,0.082,-0.095,-0.141
NP_060740,-0.216,-0.02,-0.316,0.081,-0.251,0.085,0.024,-0.221,-0.292
NP_082755,-0.216,-0.02,-0.316,0.081,-0.251,0.085,0.024,-0.221,-0.292
NP_055121,0.228,-0.051,-0.613,0.053,-0.444,0.268,0.202,3.447,-0.028
NP_663397,0.228,-0.051,-0.613,0.053,-0.444,0.268,0.202,3.447,-0.028
NP_060962,0.104,-0.493,-0.753,0.163,-0.788,-0.45,0.558,0.121,-0.512
NP_075698,0.104,-0.493,-0.753,0.163,-0.788,-0.45,0.558,0.121,-0.512
NP_001059,-0.225,-0.361,-0.567,0.14,-0.616,-0.335,-0.041,-0.213,-0.677
NP_005008,-0.297,0.141,0.072,0.076,0.115,0.168,0.498,0.299,0.05
NP_057018,0.006,1.016,1.091,0.378,1.336,1.144,0.575,0.325,0.979
NP_055907,-0.145,0.072,0.167,0.298,0.029,0.21,0.262,-0.013,0.069
XP_003960698,-0.145,0.072,0.167,0.298,0.029,0.21,0.262,-0.013,0.069
NP_001026984,-0.145,0.072,0.167,0.298,0.029,0.21,0.262,-0.013,0.069
NP_001035111,0.521,-0.546,-0.269,0.475,-0.576,-0.324,0.157,0.251,-0.229
NP_919424,0.079,-0.848,-0.694,0.168,-0.79,-0.471,0.112,0.034,-0.757
NP_001116293,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_003002,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_001234929,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_001234930,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_076360,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_001191804,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_001116293,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_003002,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_001234929,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_001234930,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_076360,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_001191804,-0.303,0.609,0.292,0.211,0.698,0.525,0.235,-0.191,0.359
NP_733751,0.252,-1.37,-1.11,-0.039,-1.806,-0.967,0.655,-0.097,-1.467
NP_036377,-0.19,0.165,0.036,0.27,0.08,0.336,0.296,0.171,0
NP_079783,-0.19,0.165,0.036,0.27,0.08,0.336,0.296,0.171,0
NP_006796,-0.481,-1.134,-1.342,-0.107,-1.4,-0.921,-0.002,-0.392,-1.413
NP_084148,-0.481,-1.134,-1.342,-0.107,-1.4,-0.921,-0.002,-0.392,-1.413
NP_056474,-0.246,-1.538,-1.822,-0.101,-2.357,-1.341,-0.034,-0.333,-2.019
NP_082509,-0.09,0.531,0.212,0.363,0.154,1.113,0.104,3.713,0.582
NP_006286,-0.283,-0.185,-0.245,0.267,-0.06,-0.05,-0.049,-0.078,-0.248
NP_035820,-0.283,-0.185,-0.245,0.267,-0.06,-0.05,-0.049,-0.078,-0.248
