Substrate_ACC,Substrate_GN,Cortex_1,Cortex_2,Cortex_3,PDGFRA_4,PDGFRA_5,PDGFRA_6,PDGFRA_7,NTRK_8,NTRK_9,NTRK_10
Q99ME9,Gtpbp4,711790.0873,736326.2281,775373.4373,1243334.252,1278418.416,1249157.361,1112661.604,1409172.845,1521705.768,1127216.223
Q8R080,Gtse1,100929.7494,99489.64615,101372.2422,180117.3099,185948.8413,206318.4865,169168.1362,213229.3994,216978.0696,146351.1108
P12265,Gusb,326099.972,338299.743,318350.2342,548775.1665,585687.513,603082.7763,492782.0364,590765.9071,559369.3081,483791.3936
Q3UHH8,Gxylt1,42725.46834,40575.62671,40045.97694,53508.4213,51979.52192,50124.08366,50073.2564,62537.37593,63152.46381,55148.32636
A3KGR9,H13,396396.4957,404201.8021,403657.9544,562714.5543,574620.0678,607662.2624,532366.5851,577829.3033,631150.2626,535959.8641
Q80ZM5,H1fx,537306.2275,568852.0187,630382.2245,1015950.567,1149099.965,972626.8535,1043947.612,1283765.924,1502262.012,839387.2591
P27661,H2afx,48516108.9,50414489.23,48145455.59,71153439.76,55265558.58,52900508.24,60669295.6,82844085.39,87074493.72,67885737.62
P0C0S6,H2afz,42541173.64,44142265.67,43243174.97,68106981.38,56226450.45,58653344.93,59850326.92,91726140.21,100928517.8,71968283.01
P14426,H2-D1,1008495.6,1052952.842,934713.5564,3527769.615,3316129.027,4184860.877,3534119.221,5435886.687,4510170.219,4690393.327
P03991,H2-K1,1029694.994,1099708.612,999786.3665,3479742.883,3232949.83,3968950.677,3442388.504,5476637.55,4513209.874,4591485.797
P01897,H2-L,1825457.509,2397615.357,1838013.818,4266596.825,3971616.934,4880756.966,4091234.772,5548226.364,4840512.037,4992442.146
O19441,H2-Q1,889972.088,960547.2629,780404.9403,3688951.248,3652567.103,4363217.358,3874998.723,5509312.167,4861508.401,4851374.822
P01898,H2-Q10,1605076.386,1600742.702,1406700.987,3130713.566,3196361.271,4296125.833,3324966.939,5128860.552,4001865.355,4599248.593
Q4KN81,H2-Q2,110076.8686,118441.7176,129195.5556,262825.9495,295601.2775,294367.9564,286637.0297,424833.989,386568.0831,339336.1179
Q8HWB2,H2-Q4,1382245.078,1416805.186,1834253.869,3245063.218,3138033.257,3713084.75,3305599.966,4229160.469,3679239.173,3896659.488
P79568,H2-Q6,1118943.488,1689165.018,986396.2042,3555771.367,3364122.25,4190632.349,3013381.053,4870554.883,3185628.425,4450131.354
P14429,H2-Q7,1008264.537,1091218.343,877952.3038,3708498.115,3472635.789,4424939.691,3630020.604,5078228.883,3536171.311,4611430.144
Q31615,H2-T22,88546.67646,104386.5204,110391.48,135906.703,135327.0761,172465.7625,153166.826,157513.0211,171163.6626,198333.9925
P06339,H2-T23,167231.3746,240065.6875,225451.1685,288620.3608,295188.1143,381506.4791,268319.7351,465935.1134,337680.8047,383461.8353
E0CZ27,H3f3a,54778410.84,55351605.06,57937110.97,87207721.47,88165849.51,76566715.94,70383011.87,99740754.73,108633386.2,73350240.77
P02301,H3f3c,54251399.39,53970608.85,56098565.68,87324262.97,87791352.55,76989319.1,71799258.18,98389305.25,113939379.4,74703109.49
Q8BY71,Hat1,114414.2509,117210.7339,122479.6906,142349.7513,149530.2236,148354.3881,150917.7101,188168.9354,222834.5038,151842.3838
Q8BHX1,Haus1,113893.5306,117256.8478,117075.6291,178639.7801,210946.1323,202505.5816,174916.1043,233300.8477,228191.7979,182917.5465
Q9CQS9,Haus2,74970.68021,73425.04198,68333.26614,127360.1362,135372.0345,147385.951,125827.13,161353.1918,157379.7687,115087.0871
Q8QZX2,Haus3,69996.50948,72639.37265,69298.84094,110985.3908,112303.9864,118394.248,102762.0385,128922.4465,124488.5472,98308.13192
Q8BFT2,Haus4,75363.59538,74752.08772,77548.21942,115691.9598,133560.3775,132438.6981,115927.2815,146135.9113,137255.6289,111356.9843
Q9D786,Haus5,95578.01284,95595.45016,89606.79264,135428.4834,141812.4549,145424.3295,133547.8501,166309.3062,160005.2976,126794.4516
Q6NV99,Haus6,159030.1541,167359.8174,163767.636,260972.8123,260808.6169,272829.2391,237129.22,289319.3277,293789.2323,221632.8977
Q8BKT8,Haus7,46153.45908,47994.4819,49349.67773,72958.19414,78353.87799,74858.66867,70836.60609,81026.1428,81432.29446,62902.61221
Q99L00,Haus8,77882.1255,74806.4721,76144.26993,101328.2864,112464.378,116898.4686,103864.3576,119107.962,126209.6279,99720.84335
Q61191,Hcfc1,558770.5175,557417.124,573425.4419,671736.4624,695598.038,680471.2892,668633.0368,858377.4628,899395.2273,655043.2592
O09106,Hdac1,394209.8887,373946.6444,376146.7342,524557.8264,522758.4051,547162.403,516479.6849,579941.2952,582664.3108,479291.2281
Q8VH37,Hdac8,127075.0186,123580.1301,129597.6129,173926.7202,181226.6977,169719.4823,158635.0499,237549.9203,274596.5457,195503.3104
G3X9B1,Heatr1,287252.0683,290140.6612,285357.9216,458986.3486,470379.9057,478379.3985,450941.0774,501179.0528,542291.9236,392337.6321
B9EJR8,Heatr2,68655.13829,76321.12404,68330.91562,101381.3222,103479.3049,107570.3649,101734.1655,109203.3329,105838.6322,96616.37542
Q8BQM4,Heatr3,306290.8718,326543.5751,331078.0796,501794.1957,559872.5331,515188.7138,486252.3929,487152.961,553491.5974,404607.3194
Q60848,Hells,105974.9285,122345.9345,115877.9745,146275.3725,154140.1563,156502.8929,158209.9115,205659.5106,222172.1652,157545.579
F2Z461,Herc6,86993.59385,92757.61851,88371.7006,143354.927,136064.1976,148490.6421,161346.0868,142757.8286,157823.7424,179957.8261
Q9WV93,Hey1,28942.59779,28675.81335,26557.40051,32250.26085,34175.42777,33552.39122,37179.71459,48819.19746,48183.79315,39149.29278
Q3UDW8,Hgsnat,31420.68214,36274.33997,33512.53484,49232.60346,52094.85414,47798.84461,44585.6981,55166.4287,54718.66321,45671.89333
Q8BLH7,Hirip3,202364.8471,216184.1108,188397.0874,264657.8639,279132.5955,267949.4493,265862.3385,383801.8906,375128.8322,239089.4855
P43275,Hist1h1a,26325722.8,25025092.27,28996400.29,44652275.42,47590458.2,36028604.87,43566712.97,55987564.96,78230841.42,50483315.75
P43276,Hist1h1b,2551098.716,2863042.469,2806157.688,6348005.722,6352321.179,5274304.255,5261318.359,7354834.252,9397201.263,6014610.944
P15864,Hist1h1c,29031997.34,27978759.6,31789708.22,46637040.03,46182182.65,40305820.05,44518887.54,57882756.98,76229552.64,51114480.23
P43277,Hist1h1d,29714892.39,28665093.36,32183359.98,46494129.7,46337903.05,39580739.18,46087701.51,57131961.82,75357425.66,51320734.91
P43274,Hist1h1e,32811944.22,31204847.56,35196689.87,47241065.96,46212447.97,38913306.31,44486757.54,52230957.88,69458204.08,48581669.41
Q64475,Hist1h2bb,61314359.39,62942592.55,72228966.35,93209001.21,93072669.82,86371556.14,84509427.53,133657584.5,124050299.4,91374895.37
P68433,Hist1h3a,53292872.63,52771008.65,54997404.06,87248839.97,88187023.69,77896873.23,72338685.31,100556291.3,116150766.8,75735032.37
