"Substrate_ACC","Substrate_GN","sites","Peptides","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1..1"
"P62805","H4C1",NA,NA,-0.052,0.102,-0.176,0.035,-0.857,0.102,0.404,0.033,-0.07
"P09622","DLD",NA,NA,-0.201,0.305,0.188,0.088,0.386,0.4,0.148,-0.108,0.176
"P08670","VIM",NA,NA,-0.646,2.47,3.008,0.587,2.678,2.516,0.335,0.398,2.835
"P04406","GAPDH",NA,NA,-0.039,0.298,0.142,0.194,0.48,0.451,-0.236,-0.143,0.203
"P63104","YWHAZ",NA,NA,-0.451,0.979,0.671,0.298,1.266,0.951,0.18,0.076,0.767
"P09622","DLD",NA,NA,-0.356,0.379,-0.033,0.104,0.329,0.333,0.053,0.015,0.349
"P60900","PSMA6",NA,NA,-0.223,0.256,-0.112,0.158,0.077,0.037,-0.094,-0.107,-0.162
"P63104","YWHAZ",NA,NA,0.215,0.374,0.087,0.046,0.445,0.925,0.046,2.693,0.158
"P08670","VIM",NA,NA,-0.112,0.702,0.949,0.149,0.797,0.649,0.455,0.004,0.804
"P00367","GLUD1",NA,NA,-0.52,0.743,0.461,-0.047,0.73,0.727,0.118,-0.059,0.487
"P04406","GAPDH",NA,NA,-0.314,0.936,0.873,0.194,1.035,1.074,-0.02,-0.006,0.933
"P07900","HSP90AA1",NA,NA,-0.242,0.457,0.399,0.313,0.424,0.634,-0.009,0.567,0.291
"P48436","SOX9",NA,NA,-0.3,-1.728,-1.873,0.062,-1.963,-1.536,-0.127,-0.133,-1.884
"Q15291","RBBP5",NA,NA,-0.166,-0.399,-0.444,-0.006,-0.871,-0.443,-0.004,-0.155,-0.601
"P06748","NPM1",NA,NA,-0.099,1.291,0.967,0.233,1.501,1.371,0.283,0.239,0.986
"P17844","DDX5",NA,NA,-0.373,-0.118,-0.102,0.049,-0.231,-0.129,-0.156,-0.04,-0.182
"Q15233","NONO",NA,NA,-0.233,0.361,0.179,0.146,0.247,0.55,0.046,0.161,0.22
